infolder, /home/david/Documents/Research/FireSimulator/Instances/400CellsDLW/test1inputs, ReplicateNum, 1, seed, 1134, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 241, NonBurnable, 0, StillAvailableCells, 159, SimYears, 1, fireperiods1, 70
infolder, /home/david/Documents/Research/FireSimulator/Instances/400CellsDLW/test1inputs, ReplicateNum, 2, seed, 1134, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /home/david/Documents/Research/FireSimulator/Instances/400CellsDLW/test1inputs, ReplicateNum, 3, seed, 1134, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /home/david/Documents/Research/FireSimulator/Instances/400CellsDLW/test1inputs, ReplicateNum, 4, seed, 1134, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 182, NonBurnable, 0, StillAvailableCells, 218, SimYears, 1, fireperiods1, 47
infolder, /home/david/Documents/Research/FireSimulator/Instances/400CellsDLW/test1inputs, ReplicateNum, 5, seed, 1134, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /home/david/Documents/Research/FireSimulator/Instances/400CellsDLW/test1inputs, ReplicateNum, 6, seed, 1134, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /home/david/Documents/Research/FireSimulator/Instances/400CellsDLW/test1inputs, ReplicateNum, 7, seed, 1134, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /home/david/Documents/Research/FireSimulator/Instances/400CellsDLW/test1inputs, ReplicateNum, 8, seed, 1134, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /home/david/Documents/Research/FireSimulator/Instances/400CellsDLW/test1inputs, ReplicateNum, 9, seed, 1134, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 210, NonBurnable, 0, StillAvailableCells, 190, SimYears, 1, fireperiods1, 70
infolder, /home/david/Documents/Research/FireSimulator/Instances/400CellsDLW/test1inputs, ReplicateNum, 10, seed, 1134, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
